Time,Low,High,Open,Close,Volume
2017-01-01,964.37,1000.0,973.37,992.95,4421.50288283
2017-01-02,990.52,1034.39,992.96,1011.45,7723.63575162
2017-01-03,1006.71,1036.99,1011.52,1020.67,8614.25005814
2017-01-04,1018.0,1147.0,1020.69,1130.3,16222.2302667
2017-01-05,880.0,1175.0,1131.1,1007.0,20438.5819255
2017-01-06,875.01,1033.85,1007.0,895.71,14262.5042671
2017-01-07,802.07,910.0,895.78,909.0,11215.1028517
2017-01-08,899.16,953.8,908.99,923.33,5410.00349909
2017-01-09,886.42,923.58,922.04,902.66,5909.57812167
2017-01-10,899.01,915.1,902.66,907.0,7221.78923665
2017-01-11,765.0,923.98,906.81,795.77,19443.6152843
2017-01-12,734.64,840.0,795.8,812.25,13198.2959551
2017-01-13,782.85,835.01,812.25,831.42,10492.40371
2017-01-14,822.34,847.52,831.42,828.0,4774.30377561
2017-01-15,819.0,835.0,828.0,833.31,2941.91504862
2017-01-16,826.03,840.0,833.43,834.41,3428.79193045
2017-01-17,830.1,909.0,834.4,906.0,7253.4785706
2017-01-18,850.0,916.7,906.09,887.99,6937.98652365
2017-01-19,883.08,907.0,887.98,902.92,5070.18463001
2017-01-20,890.0,904.59,902.92,894.31,3110.58974194
2017-01-21,891.28,930.0,894.31,925.06,4666.66088887
2017-01-22,902.0,946.25,925.06,931.22,5044.14354801
2017-01-23,910.63,931.33,929.45,910.7,4141.43227389
2017-01-24,880.0,923.0,911.78,887.0,6401.73515269
2017-01-25,886.99,903.98,887.0,896.0,4535.10457614
2017-01-26,896.0,921.95,896.75,917.02,4718.08253344
2017-01-27,911.0,924.47,917.02,922.63,3719.06548579
2017-01-28,921.81,925.5,922.89,924.98,2634.53799739
2017-01-29,915.0,927.47,924.69,916.54,2592.34365375
2017-01-30,914.69,923.95,916.56,923.23,3617.94286203
2017-01-31,922.94,972.3,923.26,970.01,6732.26278664
2017-02-01,963.84,992.75,970.01,992.75,5993.62596645
2017-02-02,978.74,1010.0,992.75,1008.38,5728.21238077
2017-02-03,994.34,1024.5,1008.4,1018.0,6776.26971846
2017-02-04,1001.8,1044.12,1018.48,1035.54,4793.80522616
2017-02-05,1003.02,1036.3,1035.54,1016.32,4621.39169086
2017-02-06,1014.64,1027.7,1016.32,1022.58,4366.04360084
2017-02-07,1021.75,1058.26,1022.65,1053.96,5492.40880901
2017-02-08,1016.49,1069.95,1053.95,1056.7,6978.58450297
2017-02-09,925.0,1079.0,1057.22,994.24,16567.0711363
2017-02-10,961.0,1008.0,993.58,1001.99,7943.67633678
2017-02-11,995.49,1023.89,1001.88,1018.65,4321.97059564
2017-02-12,1008.0,1018.88,1018.63,1010.0,1315.7295579
2017-02-13,985.68,1021.5,1009.99,1002.82,4721.74058283
2017-02-14,992.27,1018.97,1002.88,1013.92,5910.49032795
2017-02-15,1007.66,1016.0,1013.92,1014.53,4494.35016842
2017-02-16,1013.02,1041.88,1014.58,1038.94,5996.29323251
2017-02-17,1036.29,1064.6,1038.95,1057.3,6334.69845378
2017-02-18,1055.6,1073.8,1057.29,1062.15,3934.74788542
2017-02-19,1051.26,1067.78,1062.14,1059.88,3025.41424506
2017-02-20,1051.36,1095.0,1059.88,1089.82,4434.4419852
2017-02-21,1081.95,1132.95,1089.98,1128.29,7487.52401771
2017-02-22,1104.9,1140.0,1129.67,1128.71,6035.82346759
2017-02-23,1128.22,1197.0,1129.87,1186.9,7574.4599592
2017-02-24,1103.32,1221.93,1185.81,1186.91,12744.9174485
2017-02-25,1110.0,1189.49,1186.91,1158.0,6033.37742829
2017-02-26,1130.88,1187.33,1157.98,1184.91,4454.44399496
2017-02-27,1176.0,1198.99,1184.91,1195.81,5776.45621667
2017-02-28,1179.64,1214.94,1195.84,1195.08,6720.38236942
2017-03-01,1085.71,1230.0,1194.53,1230.0,8122.93568298
2017-03-02,1220.0,1298.61,1230.0,1269.17,8940.26335112
2017-03-03,1255.61,1294.99,1269.17,1292.86,8290.62821009
2017-03-04,1226.41,1294.48,1293.06,1273.97,6385.03090633
2017-03-05,1247.11,1278.99,1273.94,1278.98,3996.53386765
2017-03-06,1268.78,1288.0,1278.63,1284.99,4763.57331155
2017-03-07,1050.0,1288.0,1284.99,1237.36,10811.1348034
2017-03-08,1128.0,1246.0,1237.36,1150.22,13005.734889
2017-03-09,1131.11,1214.95,1150.22,1197.3,8524.46283332
2017-03-10,956.85,1360.0,1197.3,1109.01,25696.846457
2017-03-11,1107.0,1219.0,1111.92,1188.11,10281.2381495
2017-03-12,1150.0,1244.0,1188.11,1235.58,6729.15133551
2017-03-13,1206.0,1249.0,1235.27,1245.49,9584.33571861
2017-03-14,1213.55,1262.0,1245.5,1247.42,7464.24969536
2017-03-15,1240.0,1264.55,1247.43,1263.0,7273.3089643
2017-03-16,1117.77,1277.27,1263.55,1175.11,16599.2897102
2017-03-17,1065.74,1175.11,1175.11,1069.57,19215.3865455
2017-03-18,919.44,1096.0,1068.78,970.0,23964.9937835
2017-03-19,961.59,1062.92,970.0,1019.49,13518.2895138
2017-03-20,1011.0,1051.97,1019.1,1044.96,8919.41542151
2017-03-21,1042.68,1120.0,1046.75,1114.42,12493.1583034
2017-03-22,985.17,1114.96,1114.42,1034.57,14577.9100235
2017-03-23,1013.0,1057.41,1038.94,1025.14,7782.58744987
2017-03-24,920.1,1030.3,1025.13,934.87,19000.1911158
2017-03-25,890.05,973.99,933.93,963.72,16665.0997143
2017-03-26,943.9,1005.0,963.72,973.08,9503.60859053
2017-03-27,961.1,1045.9,973.97,1042.08,10233.8894653
2017-03-28,1016.25,1069.39,1042.27,1045.4,9055.35196409
2017-03-29,1005.77,1058.16,1045.54,1043.27,8676.30276913
2017-03-30,1022.0,1052.94,1043.09,1042.34,8312.81365608
2017-03-31,1038.11,1094.49,1042.32,1088.99,11274.0990776
2017-04-01,1071.45,1110.95,1088.99,1092.0,6726.97042802
2017-04-02,1080.0,1119.0,1092.0,1113.99,7882.35425504
2017-04-03,1112.24,1168.72,1113.23,1152.6,12694.078609
2017-04-04,1124.98,1164.14,1152.09,1143.99,8959.60337266
2017-04-05,1114.9,1144.99,1143.98,1132.99,8705.92018413
2017-04-06,1132.98,1206.97,1132.99,1192.3,11233.4867208
2017-04-07,1175.26,1203.0,1192.29,1194.0,6984.36797928
2017-04-08,1170.0,1198.0,1194.0,1184.5,4423.10758142
2017-04-09,1175.8,1221.0,1184.5,1210.97,5819.84128162
2017-04-10,1201.0,1219.78,1210.99,1210.0,5644.96147616
2017-04-11,1200.0,1234.0,1210.0,1223.99,5481.08329834
2017-04-12,1209.61,1227.86,1224.0,1214.17,6494.15156162
2017-04-13,1148.98,1219.49,1214.68,1177.05,9426.5374569
2017-04-14,1170.14,1196.92,1177.05,1173.74,5665.88775228
2017-04-15,0.06,1190.99,1173.13,1178.85,3972.00314582
2017-04-16,1171.7,1189.93,1178.84,1177.99,3084.52503854
2017-04-17,1170.85,1197.6,1177.63,1189.91,6548.06656297
2017-04-18,1189.76,1206.65,1190.95,1201.94,6269.90926487
2017-04-19,1191.09,1215.32,1201.88,1214.21,6273.61537614
2017-04-20,1212.01,1240.6,1214.22,1236.15,7747.13509693
2017-04-21,1236.15,1258.77,1236.15,1249.99,6669.14516894
2017-04-22,1221.51,1253.0,1249.98,1247.0,6147.32768133
2017-04-23,1236.2,1254.0,1246.79,1251.98,5023.52597801
2017-04-24,1246.31,1261.16,1251.91,1257.29,5906.25903817
2017-04-25,1256.16,1287.0,1256.65,1281.16,8117.83793375
2017-04-26,1279.5,1320.0,1281.18,1298.44,9597.32080942
2017-04-27,1295.39,1360.0,1297.56,1349.26,10484.9236159
2017-04-28,1300.2,1381.01,1349.77,1353.34,14008.2274168
2017-04-29,1335.64,1369.5,1352.96,1365.43,9669.11577868
2017-04-30,1334.02,1394.51,1364.98,1384.55,10541.609917
2017-05-01,1370.98,1466.69,1384.55,1436.5,16992.300997
2017-05-02,1426.51,1492.93,1436.5,1471.99,12031.5841906
2017-05-03,1453.68,1533.0,1471.79,1533.0,16319.0050969
2017-05-04,1482.06,1665.0,1533.0,1563.39,26721.0959227
2017-05-05,1535.11,1630.0,1561.47,1551.3,16888.1403486
2017-05-06,1551.3,1598.89,1551.3,1585.39,9367.70501254
2017-05-07,1563.87,1618.31,1585.49,1609.57,11737.5699792
2017-05-08,1608.0,1713.0,1611.1,1713.0,15894.9200644
2017-05-09,1630.0,1794.7,1712.99,1720.43,19878.9688314
2017-05-10,1691.3,1799.99,1720.24,1794.99,13458.186388
2017-05-11,1770.95,1889.0,1794.95,1837.93,15726.1046034
2017-05-12,1651.01,1838.0,1837.98,1695.61,16526.8187958
2017-05-13,1610.0,1792.96,1695.56,1792.73,12377.8037346
2017-05-14,1763.33,1829.0,1791.7,1799.99,6806.48511914
2017-05-15,1702.42,1802.99,1799.98,1747.81,10191.8542489
2017-05-16,1690.14,1777.76,1747.81,1777.48,11414.5087423
2017-05-17,1745.05,1840.0,1777.49,1813.23,13806.6496907
2017-05-18,1800.0,1900.0,1813.23,1899.16,11390.3343589
2017-05-19,1890.73,1980.0,1899.47,1976.23,18971.3087008
2017-05-20,1970.04,2059.0,1976.22,2058.91,13176.2681827
2017-05-21,1988.6,2102.68,2058.89,2057.0,17762.4843911
2017-05-22,1975.0,2298.0,2056.99,2123.29,29431.5243462
2017-05-23,2100.86,2283.0,2123.29,2272.75,17640.9385159
2017-05-24,2266.51,2474.69,2272.74,2432.97,24659.5342538
2017-05-25,2226.86,2806.0,2432.96,2355.0,37192.7376135
2017-05-26,2052.01,2683.18,2362.17,2272.7,31755.177713
2017-05-27,1913.19,2353.35,2276.46,2099.99,32466.1612343
2017-05-28,2099.86,2342.99,2099.99,2232.78,18342.6819711
2017-05-29,2141.12,2357.86,2237.0,2279.48,16926.3445728
2017-05-30,2112.31,2336.88,2279.18,2191.58,20915.9999948
2017-05-31,2173.8,2338.91,2191.6,2303.29,21726.930856
2017-06-01,2302.0,2488.0,2303.61,2419.99,21390.3350433
2017-06-02,2379.44,2478.99,2419.98,2478.99,12890.6588437
2017-06-03,2448.0,2599.0,2478.99,2548.05,13441.8887977
2017-06-04,2469.98,2556.1,2548.3,2521.36,13820.3136647
2017-06-05,2517.02,2698.0,2521.43,2698.0,13599.7689043
2017-06-06,2674.69,2938.55,2698.0,2871.29,28609.0619837
2017-06-07,2598.7,2885.0,2871.29,2685.64,19476.1836909
2017-06-08,2611.41,2808.78,2690.02,2799.73,13453.6891597
2017-06-09,2786.2,2861.58,2799.76,2811.39,11440.3356156
2017-06-10,2801.25,2942.04,2811.37,2931.15,18734.8019055
2017-06-11,2881.0,2998.99,2931.16,2998.98,16295.4830364
2017-06-12,2463.89,2999.99,2998.98,2655.71,38941.1821433
2017-06-13,2649.47,2798.99,2654.36,2709.01,19716.9741915
2017-06-14,2330.0,2827.0,2709.02,2432.21,28256.8748577
2017-06-15,2050.0,2525.0,2432.21,2409.98,42025.0418809
2017-06-16,2287.84,2524.65,2409.98,2480.43,21891.9577182
2017-06-17,2413.96,2679.24,2480.44,2634.94,17601.2841096
2017-06-18,2455.01,2670.0,2634.94,2515.25,13831.5886485
2017-06-19,2481.92,2597.0,2515.25,2596.98,13928.5586851
2017-06-20,2585.42,2776.95,2596.99,2725.08,19229.7062207
2017-06-21,2559.51,2781.59,2725.11,2643.35,18062.0700841
2017-06-22,2598.0,2724.69,2643.33,2679.99,12179.5537823
2017-06-23,2665.0,2743.0,2679.93,2690.76,9674.14014661
2017-06-24,2503.05,2718.37,2690.76,2574.84,12806.5987236
2017-06-25,2430.05,2625.0,2574.86,2505.61,13739.1713358
2017-06-26,2258.34,2563.9,2505.61,2407.91,20262.7621529
2017-06-27,2264.0,2575.75,2407.91,2575.75,22151.5196208
2017-06-28,2457.0,2605.0,2573.22,2553.12,16240.954621
2017-06-29,2506.1,2591.98,2553.13,2530.0,9048.16102048
2017-06-30,2446.2,2554.01,2531.16,2455.19,11860.9594359
2017-07-01,2400.0,2515.0,2455.19,2423.63,8448.08879856
2017-07-02,2385.0,2545.0,2424.08,2516.66,9098.28919886
2017-07-03,2479.75,2584.78,2515.37,2542.41,10043.5148009
2017-07-04,2542.18,2636.1,2542.41,2602.0,10680.5652217
2017-07-05,2551.06,2630.24,2602.0,2616.96,10183.6301032
2017-07-06,2580.69,2623.54,2616.96,2604.84,8207.96657687
2017-07-07,2472.0,2607.61,2604.89,2501.15,11640.7815712
2017-07-08,2471.22,2563.5,2501.15,2561.11,7869.88131277
2017-07-09,2500.0,2579.84,2560.84,2508.99,5647.43426949
2017-07-10,2250.0,2523.0,2508.0,2331.05,15554.0050949
2017-07-11,2265.0,2410.0,2330.93,2310.01,15670.5506472
2017-07-12,2250.0,2415.0,2309.62,2383.42,13834.4719746
2017-07-13,2308.14,2416.79,2384.35,2340.0,9541.53943311
2017-07-14,2150.0,2349.28,2340.0,2217.24,13548.7778099
2017-07-15,1964.31,2224.82,2217.02,1964.31,16334.1886472
2017-07-16,1758.2,2043.94,1964.33,1911.78,21740.8927403
2017-07-17,1909.58,2238.07,1911.79,2235.19,21436.7645371
2017-07-18,2134.37,2393.43,2235.14,2308.15,23791.8175777
2017-07-19,2216.0,2396.0,2307.48,2258.99,18567.4761125
2017-07-20,2258.99,2957.0,2258.99,2873.48,36509.1678742
2017-07-21,2608.27,2880.0,2873.45,2657.45,23062.1754295
2017-07-22,2646.95,2869.88,2661.05,2825.27,12225.6176368
2017-07-23,2691.0,2848.0,2825.27,2754.28,10194.9747502
2017-07-24,2726.8,2799.2,2755.19,2762.26,8105.64511248
2017-07-25,2449.69,2782.44,2761.68,2564.0,19195.6426074
2017-07-26,2403.0,2614.0,2564.0,2525.99,13015.8552187
2017-07-27,2514.1,2686.2,2525.98,2664.99,10034.5270657
2017-07-28,2655.55,2825.11,2664.99,2786.07,17189.246742
2017-07-29,2656.0,2790.99,2786.07,2700.21,9860.13224068
2017-07-30,2500.0,2739.98,2700.2,2723.99,8450.932768
2017-07-31,2700.0,2900.0,2723.99,2856.88,11462.1502407
2017-08-01,2676.01,2925.0,2856.89,2732.59,9772.96947501
2017-08-02,2650.0,2758.06,2731.6,2699.9,8422.27537735
2017-08-03,2699.89,2799.0,2699.9,2787.02,7425.95745626
2017-08-04,2760.0,2877.79,2787.05,2857.34,7714.98047973
2017-08-05,2857.34,3335.0,2857.34,3243.49,21614.6006112
2017-08-06,3150.0,3278.42,3243.5,3222.22,8666.20078218
2017-08-07,3190.0,3416.0,3222.22,3398.23,11324.9162028
2017-08-08,3349.91,3489.0,3398.23,3422.43,16013.9389517
2017-08-09,3232.62,3428.29,3423.28,3342.8,13076.1462708
2017-08-10,3317.0,3448.0,3342.8,3444.98,9348.35914865
2017-08-11,3416.86,3725.0,3444.98,3656.15,15315.7523613
2017-08-12,3622.87,3974.0,3656.14,3874.0,18972.1433559
2017-08-13,3850.0,4200.0,3874.0,4060.47,23522.1419857
2017-08-14,3985.01,4328.0,4060.47,4320.6,20059.9619684
2017-08-15,3807.14,4434.42,4320.53,4159.93,32018.0682205
2017-08-16,3928.82,4385.5,4159.93,4370.01,17969.6262063
2017-08-17,4180.0,4469.0,4370.01,4280.01,19980.891605
2017-08-18,3960.47,4350.0,4280.01,4101.72,20823.0514155
2017-08-19,4000.0,4186.1,4101.72,4157.41,10502.7408246
2017-08-20,4044.52,4190.21,4157.41,4050.99,8331.87235879
2017-08-21,3950.88,4089.99,4050.99,4002.0,12417.6570756
2017-08-22,3583.46,4145.0,4002.0,4092.0,21921.8285372
2017-08-23,4058.26,4247.88,4092.0,4143.49,11746.0041498
2017-08-24,4112.76,4349.99,4142.5,4312.03,10247.9842091
2017-08-25,4284.01,4453.9,4312.03,4360.0,10918.7797284
2017-08-26,4260.01,4374.39,4360.0,4344.32,6146.47876206
2017-08-27,4309.87,4392.0,4344.32,4340.11,7041.34420177
2017-08-28,4200.0,4396.0,4343.5,4384.99,10452.6038207
2017-08-29,4350.0,4656.83,4384.99,4599.0,14509.9581238
2017-08-30,4500.55,4635.21,4599.01,4581.98,10383.4343046
2017-08-31,4580.84,4769.03,4581.98,4743.94,13628.4577781
2017-09-01,4706.0,4948.0,4743.94,4947.99,16759.1436084
2017-09-02,4500.0,4980.0,4948.0,4649.99,19577.1887455
2017-09-03,4524.0,4749.99,4642.39,4626.05,11568.8587654
2017-09-04,4234.16,4628.05,4626.05,4498.25,20518.8844828
2017-09-05,4242.38,4514.95,4498.46,4432.51,17315.430192
2017-09-06,4431.0,4692.0,4432.51,4616.18,16174.3043311
2017-09-07,4475.01,4665.44,4616.18,4624.18,8455.04147983
2017-09-08,4140.0,4679.99,4624.18,4350.0,22101.2685597
2017-09-09,4180.0,4449.95,4350.0,4334.36,10073.8955867
2017-09-10,4139.0,4349.99,4334.36,4251.36,10078.3748567
2017-09-11,4111.14,4365.0,4251.36,4210.72,9068.25507562
2017-09-12,4080.0,4375.37,4210.72,4164.52,12373.3985777
2017-09-13,3726.0,4174.53,4164.52,3855.32,22842.5322555
2017-09-14,3230.05,3923.0,3855.61,3250.4,36338.0272475
2017-09-15,2975.01,3894.48,3249.99,3740.02,54488.4824195
2017-09-16,3600.0,4042.98,3740.02,3726.51,19031.6759722
2017-09-17,3475.64,3841.0,3726.51,3719.97,11718.8802017
2017-09-18,3717.56,4130.0,3719.98,4100.0,16906.72339
2017-09-19,3850.44,4125.22,4100.0,3910.11,13781.1553864
2017-09-20,3850.01,4044.0,3910.11,3872.06,9910.40111429
2017-09-21,3571.0,3903.57,3872.07,3617.47,14978.485426
2017-09-22,3509.79,3767.77,3617.47,3619.01,12649.0113008
2017-09-23,3580.0,3818.89,3619.01,3787.33,6595.93530667
2017-09-24,3630.01,3789.36,3787.33,3669.01,4692.79090244
2017-09-25,3669.01,3969.37,3669.01,3919.78,9583.73758911
2017-09-26,3854.29,3960.0,3919.98,3885.09,5893.22353833
2017-09-27,3880.36,4228.39,3885.09,4200.0,12072.6686957
2017-09-28,4122.0,4269.95,4200.0,4189.42,7903.92089054
2017-09-29,4015.17,4212.99,4189.42,4156.99,10360.8338807
2017-09-30,4143.52,4356.28,4156.99,4339.0,6235.07845604
2017-10-01,4256.92,4396.99,4339.01,4394.81,5366.91196997
2017-10-02,4354.23,4470.0,4394.81,4392.71,8647.74799194
2017-10-03,4240.0,4419.95,4392.71,4307.99,10606.1062195
2017-10-04,4175.3,4344.0,4307.99,4214.84,6555.27096872
2017-10-05,4150.01,4365.21,4214.84,4320.04,6482.32778439
2017-10-06,4299.99,4407.0,4320.02,4362.99,6441.72560363
2017-10-07,4320.0,4449.42,4363.0,4425.0,4178.25089288
2017-10-08,4420.01,4612.0,4425.0,4603.49,7158.20027956
2017-10-09,4561.0,4875.39,4603.5,4769.55,14273.8234288
2017-10-10,4701.53,4925.65,4769.55,4750.0,13708.1939375
2017-10-11,4720.21,4869.97,4750.0,4814.99,7238.87876179
2017-10-12,4809.59,5440.92,4814.99,5440.0,20097.6884551
2017-10-13,5390.0,5867.0,5440.0,5624.8,26595.9752588
2017-10-14,5567.86,5839.8,5624.87,5819.13,8999.20367594
2017-10-15,5455.5,5849.83,5819.13,5693.7,11817.3282878
2017-10-16,5575.55,5785.3,5693.7,5754.9,8820.44040004
