Time,Low,High,Open,Close,Volume
2017-11-10 00:00:00,7139.98,7156.0,7156.0,7156.0,166.66484332
2017-11-10 00:05:00,7155.99,7188.69,7156.0,7183.87,138.42389677
2017-11-10 00:10:00,7172.02,7195.0,7183.87,7195.0,76.49754755
2017-11-10 00:15:00,7174.0,7206.51,7195.0,7179.95,166.05559105
2017-11-10 00:20:00,7153.8,7198.0,7179.82,7162.11,88.41210964
2017-11-10 00:25:00,7158.33,7174.99,7162.11,7174.18,55.85513245
2017-11-10 00:30:00,7174.18,7193.81,7174.18,7193.81,45.22034
2017-11-10 00:35:00,7193.0,7193.81,7193.81,7193.0,28.28090395
2017-11-10 00:40:00,7191.95,7193.0,7193.0,7192.05,48.33179147
2017-11-10 00:45:00,7192.05,7275.0,7192.05,7275.0,310.16756041
2017-11-10 00:50:00,7274.99,7325.0,7275.0,7307.42,315.41323543
2017-11-10 00:55:00,7307.41,7349.99,7307.42,7349.01,148.4617167
2017-11-10 01:00:00,7295.0,7350.0,7349.01,7313.65,261.90798664
2017-11-10 01:05:00,7278.81,7310.17,7310.17,7305.39,107.96655184
2017-11-10 01:10:00,7281.01,7305.39,7305.39,7300.42,63.37379471
2017-11-10 01:15:00,7291.46,7309.99,7300.41,7308.99,60.39347383
2017-11-10 01:20:00,7278.81,7308.99,7308.98,7283.01,49.38901894
2017-11-10 01:25:00,7283.0,7289.1,7283.01,7289.1,48.6010455
2017-11-10 01:30:00,7289.09,7300.0,7289.1,7300.0,35.9668996
2017-11-10 01:35:00,7300.0,7310.0,7300.0,7309.99,64.37607059
2017-11-10 01:40:00,7289.02,7310.0,7309.99,7294.82,41.05437931
2017-11-10 01:45:00,7294.0,7297.88,7294.82,7294.01,24.09282542
2017-11-10 01:50:00,7289.0,7294.01,7294.01,7289.0,14.46027182
2017-11-10 01:55:00,7270.23,7289.01,7289.01,7270.23,33.52207828
2017-11-10 02:00:00,7257.5,7278.57,7274.25,7262.91,45.62602395
2017-11-10 02:05:00,7262.9,7262.96,7262.91,7262.95,41.34452566
2017-11-10 02:10:00,7262.94,7287.0,7262.95,7284.0,62.8096607
2017-11-10 02:15:00,7277.88,7284.62,7284.0,7277.88,20.61328714
2017-11-10 02:20:00,7270.0,7286.25,7280.01,7285.48,50.13926972
2017-11-10 02:25:00,7285.0,7300.0,7285.51,7299.99,42.20034943
2017-11-10 02:30:00,7290.01,7301.86,7299.99,7297.98,29.0529992
2017-11-10 02:35:00,7281.0,7297.98,7297.98,7281.0,23.50770939
2017-11-10 02:40:00,7280.0,7281.01,7281.01,7280.0,14.74415324
2017-11-10 02:45:00,7275.0,7280.01,7280.01,7275.01,25.58094733
2017-11-10 02:50:00,7261.83,7275.01,7275.01,7261.84,32.26561633
2017-11-10 02:55:00,7261.83,7261.84,7261.84,7261.83,27.82744419
2017-11-10 03:00:00,7260.49,7261.84,7261.84,7260.49,37.38206097
2017-11-10 03:05:00,7260.0,7261.83,7260.49,7261.73,19.02558537
2017-11-10 03:10:00,7260.0,7261.82,7261.78,7261.81,13.08290343
2017-11-10 03:15:00,7261.81,7271.95,7261.81,7271.95,20.82618911
2017-11-10 03:20:00,7273.46,7298.0,7273.46,7298.0,69.37522584
2017-11-10 03:25:00,7286.19,7298.0,7298.0,7289.9,31.55953941
2017-11-10 03:30:00,7271.66,7291.0,7289.9,7285.15,55.47167462
2017-11-10 03:35:00,7281.33,7287.66,7284.4,7287.22,17.17692425
2017-11-10 03:40:00,7287.21,7289.35,7287.22,7287.21,31.77906928
2017-11-10 03:45:00,7279.0,7287.21,7287.21,7279.01,25.72287708
2017-11-10 03:50:00,7267.43,7279.01,7279.01,7273.01,29.55000721
2017-11-10 03:55:00,7271.85,7273.01,7273.01,7271.86,18.92527624
2017-11-10 04:00:00,7271.85,7280.0,7271.86,7280.0,31.38787907
2017-11-10 04:05:00,7279.99,7280.0,7280.0,7280.0,20.8288337
2017-11-10 04:10:00,7279.99,7290.99,7280.0,7289.98,46.27793481
2017-11-10 04:15:00,7289.97,7289.98,7289.98,7289.98,30.65172879
2017-11-10 04:20:00,7289.97,7289.98,7289.98,7289.97,12.56390731
2017-11-10 04:25:00,7289.97,7296.0,7289.98,7296.0,40.22387128
2017-11-10 04:30:00,7285.54,7296.0,7296.0,7285.54,27.90426724
2017-11-10 04:35:00,7285.34,7285.5,7285.35,7285.36,18.42827399
2017-11-10 04:40:00,7285.36,7294.0,7285.36,7290.67,38.97696576
2017-11-10 04:45:00,7285.05,7294.56,7292.27,7285.06,20.16765309
2017-11-10 04:50:00,7285.04,7287.57,7285.06,7287.57,16.1415695
2017-11-10 04:55:00,7287.56,7310.0,7287.57,7310.0,116.99349845
2017-11-10 05:00:00,7310.0,7320.0,7310.0,7318.21,52.69823074
2017-11-10 05:05:00,7300.0,7318.11,7318.11,7300.91,31.95329319
2017-11-10 05:10:00,7300.9,7308.0,7300.91,7307.99,12.69366549
2017-11-10 05:15:00,7308.0,7311.0,7308.0,7310.99,14.35592642
2017-11-10 05:20:00,7310.99,7311.99,7310.99,7311.98,22.96656486
2017-11-10 05:25:00,7273.55,7311.98,7311.98,7273.73,73.74149057
2017-11-10 05:30:00,7261.99,7290.0,7273.73,7279.95,37.55765222
2017-11-10 05:35:00,7278.86,7289.02,7279.95,7278.87,38.77286665
2017-11-10 05:40:00,7216.0,7278.87,7278.87,7224.06,155.2113013
2017-11-10 05:45:00,7217.0,7253.63,7224.53,7253.63,33.68895804
2017-11-10 05:50:00,7226.08,7253.63,7253.63,7228.26,19.71118448
2017-11-10 05:55:00,7227.91,7228.26,7228.26,7227.92,12.6428132
2017-11-10 06:00:00,7215.62,7238.76,7227.92,7215.62,41.44676539
2017-11-10 06:05:00,7215.0,7218.0,7215.35,7215.0,41.9231824
2017-11-10 06:10:00,7206.0,7215.01,7215.0,7214.96,30.47590194
2017-11-10 06:15:00,7214.96,7225.83,7214.96,7222.66,58.31148498
2017-11-10 06:20:00,7219.34,7223.0,7222.66,7223.0,29.50926118
2017-11-10 06:25:00,7222.99,7223.0,7223.0,7223.0,9.82933648
2017-11-10 06:30:00,7222.99,7223.0,7223.0,7223.0,24.46155287
2017-11-10 06:35:00,7223.0,7223.99,7223.0,7223.99,7.87405237
2017-11-10 06:40:00,7223.99,7237.65,7223.99,7237.64,14.8087435
2017-11-10 06:45:00,7235.0,7237.65,7237.65,7236.75,11.00546153
2017-11-10 06:50:00,7236.74,7240.0,7236.75,7239.99,15.67337116
2017-11-10 06:55:00,7239.99,7240.0,7240.0,7239.99,3.65398988
2017-11-10 07:00:00,7237.49,7240.0,7240.0,7237.5,14.17349416
2017-11-10 07:05:00,7235.0,7237.5,7237.5,7236.0,23.82889335
2017-11-10 07:10:00,7235.99,7237.49,7235.99,7237.49,16.11382322
2017-11-10 07:15:00,7200.42,7237.49,7237.49,7202.57,72.16904137
2017-11-10 07:20:00,7202.56,7202.57,7202.57,7202.57,9.23273457
2017-11-10 07:25:00,7202.56,7202.57,7202.57,7202.57,8.18239818
